mjdobs,obstime,ra,dec,prob,tile_id
58967.73046875,2020-04-28T17:33:42.692,279.3234558105469,22.799999237060547,0.0,39241.0
58967.734375,2020-04-28T17:38:42.692,281.10638427734375,23.5,0.00027322405367158353,39715.0
58967.73828125,2020-04-28T17:43:42.692,280.5,20.700000762939453,0.0005464481073431671,37813.0
58967.7421875,2020-04-28T17:48:42.692,281.5767517089844,20.0,0.0008196721319109201,37333.0
58967.74609375,2020-04-28T17:53:42.692,281.90081787109375,19.299999237060547,0.0010928962146863341,36850.0
58967.75,2020-04-28T17:58:42.692,283.388427734375,19.299999237060547,0.0013661201810464263,36852.0
58967.75390625,2020-04-28T18:03:42.692,284.4444580078125,18.600000381469727,0.0016393442638218403,36368.0
58967.7578125,2020-04-28T18:08:42.692,285.1851806640625,18.600000381469727,0.0019125683465972543,36369.0
58967.7578125,2020-04-28T18:13:42.692,286.6666564941406,18.600000381469727,0.0021857924293726683,36371.0
58967.76171875,2020-04-28T18:18:42.692,287.26531982421875,17.200000762939453,0.0024590163957327604,35395.0
58967.765625,2020-04-28T18:23:42.692,288.2926940917969,16.5,0.0027322403620928526,34905.0
58967.76953125,2020-04-28T18:28:42.692,289.1683654785156,15.800000190734863,0.0030054645612835884,34413.0
58967.7734375,2020-04-28T18:33:42.692,289.8985900878906,15.800000190734863,0.0032786885276436806,34414.0
58967.77734375,2020-04-28T18:38:42.692,291.3590393066406,15.800000190734863,0.0035519124940037727,34416.0
58967.78125,2020-04-28T18:43:42.692,291.6363525390625,15.100000381469727,0.0038251366931945086,33922.0
58967.78515625,2020-04-28T18:48:42.692,298.7234191894531,23.5,0.004098360426723957,39738.0
58967.7890625,2020-04-28T18:53:42.692,300.0,24.200000762939453,0.0043715848587453365,40209.0
58967.7890625,2020-04-28T18:58:42.692,300.6342468261719,22.799999237060547,0.004644808825105429,39269.0
58967.79296875,2020-04-28T19:03:42.692,301.6421203613281,22.100000381469727,0.004918032791465521,38796.0
58967.796875,2020-04-28T19:08:42.692,302.3999938964844,22.100000381469727,0.005191256757825613,38797.0
58967.80078125,2020-04-28T19:13:42.692,302.6415100097656,21.399999618530273,0.005464480724185705,38321.0
58967.8046875,2020-04-28T19:18:42.692,303.15789794921875,22.100000381469727,0.005737704690545797,38798.0
58967.80859375,2020-04-28T19:23:42.692,301.88677978515625,21.399999618530273,0.006010929122567177,38320.0
58967.8125,2020-04-28T19:28:42.692,302.91754150390625,22.799999237060547,0.006284153088927269,39272.0
58967.81640625,2020-04-28T19:33:42.692,303.396240234375,21.399999618530273,0.006557377055287361,38322.0
58967.8203125,2020-04-28T19:38:42.692,302.15643310546875,22.799999237060547,0.006830601021647453,39271.0
58967.8203125,2020-04-28T19:43:42.692,303.67864990234375,22.799999237060547,0.0071038249880075455,39273.0
58967.82421875,2020-04-28T19:48:42.692,302.25,20.700000762939453,0.007377048954367638,37842.0
58967.828125,2020-04-28T19:53:42.692,303.0,20.700000762939453,0.007650273386389017,37843.0
58967.83203125,2020-04-28T19:58:42.692,303.9158020019531,22.100000381469727,0.007923496887087822,38799.0
58967.8359375,2020-04-28T20:03:42.692,303.31915283203125,23.5,0.008196720853447914,39744.0
58967.83984375,2020-04-28T20:08:42.692,301.5,20.700000762939453,0.008469945751130581,37841.0
58967.84375,2020-04-28T20:13:42.692,301.132080078125,21.399999618530273,0.008743169717490673,38319.0
58967.84765625,2020-04-28T20:18:42.692,302.5531921386719,23.5,0.009016393683850765,39743.0
58967.8515625,2020-04-28T20:23:42.692,304.15093994140625,21.399999618530273,0.009289617650210857,38323.0
58967.8515625,2020-04-28T20:28:42.692,303.75,20.700000762939453,0.00956284161657095,37844.0
58967.85546875,2020-04-28T20:33:42.692,302.4896240234375,20.0,0.009836065582931042,37361.0
58967.859375,2020-04-28T20:38:42.692,301.3953552246094,22.799999237060547,0.010109289549291134,39270.0
58967.86328125,2020-04-28T20:43:42.692,304.0851135253906,23.5,0.010382513515651226,39745.0
58967.8671875,2020-04-28T20:48:42.692,304.43975830078125,22.799999237060547,0.010655737482011318,39274.0
58967.87109375,2020-04-28T20:53:42.692,300.88421630859375,22.100000381469727,0.01092896144837141,38795.0
58967.875,2020-04-28T20:58:42.692,303.23651123046875,20.0,0.011202185414731503,37362.0
58967.87890625,2020-04-28T21:03:42.692,301.74273681640625,20.0,0.011475409381091595,37360.0
58967.8828125,2020-04-28T21:08:42.692,301.7872314453125,23.5,0.011748634278774261,39742.0
58967.8828125,2020-04-28T21:13:42.692,304.6736755371094,22.100000381469727,0.012021858245134354,38800.0
58967.88671875,2020-04-28T21:18:42.692,303.0769348144531,24.200000762939453,0.012295082211494446,40213.0
58967.890625,2020-04-28T21:23:42.692,303.8461608886719,24.200000762939453,0.012568306177854538,40214.0
58967.89453125,2020-04-28T21:28:42.692,304.5,20.700000762939453,0.01284153014421463,37845.0
58967.8984375,2020-04-28T21:33:42.692,300.75,20.700000762939453,0.013114754110574722,37840.0
58967.90234375,2020-04-28T21:38:42.692,302.30767822265625,24.200000762939453,0.013387978076934814,40212.0
58967.90625,2020-04-28T21:43:42.692,304.9056701660156,21.399999618530273,0.013661202043294907,38324.0
58967.91015625,2020-04-28T21:48:42.692,300.995849609375,20.0,0.013934426009654999,37359.0
58967.9140625,2020-04-28T21:53:42.692,303.9833984375,20.0,0.014207649976015091,37363.0
58967.9140625,2020-04-28T21:58:42.692,302.7272644042969,19.299999237060547,0.014480873942375183,36878.0
58967.91796875,2020-04-28T22:03:42.692,304.85107421875,23.5,0.014754097908735275,39746.0
58967.921875,2020-04-28T22:08:42.692,300.3773498535156,21.399999618530273,0.015027322806417942,38318.0
58967.92578125,2020-04-28T22:13:42.692,301.98345947265625,19.299999237060547,0.015300546772778034,36877.0
58967.9296875,2020-04-28T22:18:42.692,304.6153869628906,24.200000762939453,0.015573770739138126,40215.0
58967.93359375,2020-04-28T22:23:42.692,305.2008361816406,22.799999237060547,0.015846993774175644,39275.0
58967.9375,2020-04-28T22:28:42.692,303.4710693359375,19.299999237060547,0.016120217740535736,36879.0
