mjdobs,obstime,ra,dec,prob,tile_id
59823.65625,2022-09-01T15:44:33.293,322.5,-32.5,0.0,387.0
59823.66015625,2022-09-01T15:49:33.293,323.3333435058594,-32.5,0.006410256493836641,388.0
59823.6640625,2022-09-01T15:54:33.293,325.0,-32.5,0.012820512987673283,390.0
59823.66796875,2022-09-01T15:59:33.293,325.8333435058594,-32.5,0.01923076994717121,391.0
59823.66796875,2022-09-01T16:04:33.293,327.5,-32.5,0.025641025975346565,393.0
59823.671875,2022-09-01T16:09:33.293,328.3333435058594,-32.5,0.03205128386616707,394.0
59823.67578125,2022-09-01T16:14:33.293,330.0,-32.5,0.03846153989434242,396.0
59823.6796875,2022-09-01T16:19:33.293,330.8333435058594,-32.5,0.044871795922517776,397.0
59823.68359375,2022-09-01T16:24:33.293,331.6666564941406,-32.5,0.05128205195069313,398.0
59823.6875,2022-09-01T16:29:33.293,329.1666564941406,-32.5,0.057692307978868484,395.0
59823.69140625,2022-09-01T16:34:33.293,332.5,-32.5,0.06410256773233414,399.0
59823.6953125,2022-09-01T16:39:33.293,334.1666564941406,-32.5,0.07051282376050949,401.0
