mjdobs,obstime,ra,dec,prob,tile_id
59169.84375,2020-11-16T20:12:36.730,143.85964965820312,-0.30000001192092896,0.0,22538.0
59169.84375,2020-11-16T20:17:36.730,144.5614013671875,-1.0,0.006410256493836641,22025.0
59169.84765625,2020-11-16T20:22:36.730,145.26315307617188,-1.7000000476837158,0.012820512987673283,21512.0
59169.8515625,2020-11-16T20:27:36.730,146.6666717529297,-1.7000000476837158,0.01923076994717121,21514.0
59169.85546875,2020-11-16T20:32:36.730,146.953125,-2.4000000953674316,0.025641025975346565,21001.0
59169.859375,2020-11-16T20:37:36.730,147.65625,-3.0999999046325684,0.03205128386616707,20489.0
59169.86328125,2020-11-16T20:42:36.730,148.359375,-3.799999952316284,0.03846153989434242,19977.0
59169.8671875,2020-11-16T20:47:36.730,149.0625,-3.799999952316284,0.044871795922517776,19978.0
59169.87109375,2020-11-16T20:52:36.730,149.3542022705078,-4.5,0.05128205195069313,19466.0
59169.875,2020-11-16T20:57:36.730,148.6497039794922,-4.5,0.057692307978868484,19465.0
59169.875,2020-11-16T21:02:36.730,149.765625,-3.799999952316284,0.06410256773233414,19979.0
59169.87890625,2020-11-16T21:07:36.730,150.0587158203125,-4.5,0.07051282376050949,19467.0
