mjdobs,obstime,ra,dec,prob,tile_id
59448.7578125,2021-08-22T18:13:47.647,343.3333435058594,-32.5,0.0,412.0
59448.76171875,2021-08-22T18:18:47.647,340.8333435058594,-32.5,0.0015384615398943424,409.0
59448.765625,2021-08-22T18:23:47.647,342.5,-32.5,0.003076923079788685,411.0
59448.76953125,2021-08-22T18:28:47.647,344.1666564941406,-32.5,0.004615384619683027,413.0
59448.7734375,2021-08-22T18:33:47.647,341.6666564941406,-32.5,0.00615384615957737,410.0
59448.77734375,2021-08-22T18:38:47.647,345.0,-32.5,0.007692307699471712,414.0
59448.78125,2021-08-22T18:43:47.647,340.0,-32.5,0.009230769239366055,408.0
59448.78515625,2021-08-22T18:48:47.647,345.8333435058594,-32.5,0.01076923031359911,415.0
59448.7890625,2021-08-22T18:53:47.647,339.1666564941406,-32.5,0.01230769231915474,407.0
59448.7890625,2021-08-22T18:58:47.647,346.6666564941406,-32.5,0.013846153393387794,416.0
59448.79296875,2021-08-22T19:03:47.647,338.3333435058594,-32.5,0.015384615398943424,406.0
59448.796875,2021-08-22T19:08:47.647,347.5,-32.5,0.016923077404499054,417.0
59448.80078125,2021-08-22T19:13:47.647,348.3333435058594,-32.5,0.01846153847873211,418.0
59448.8046875,2021-08-22T19:18:47.647,337.5,-32.5,0.019999999552965164,405.0
59448.80859375,2021-08-22T19:23:47.647,336.6666564941406,-32.5,0.02153846062719822,404.0
59448.8125,2021-08-22T19:28:47.647,342.6605529785156,-31.799999237060547,0.023076923564076424,848.0
59448.81640625,2021-08-22T19:33:47.647,341.8348693847656,-31.799999237060547,0.02461538463830948,847.0
59448.8203125,2021-08-22T19:38:47.647,349.1666564941406,-32.5,0.026153845712542534,419.0
59448.8203125,2021-08-22T19:43:47.647,344.3119201660156,-31.799999237060547,0.02769230678677559,850.0
59448.82421875,2021-08-22T19:48:47.647,343.4862365722656,-31.799999237060547,0.029230769723653793,849.0
59448.828125,2021-08-22T19:53:47.647,345.1376037597656,-31.799999237060547,0.03076923079788685,851.0
59448.83203125,2021-08-22T19:58:47.647,340.1834716796875,-31.799999237060547,0.032307691872119904,845.0
59448.8359375,2021-08-22T20:03:47.647,341.0091857910156,-31.799999237060547,0.03384615480899811,846.0
59448.83984375,2021-08-22T20:08:47.647,350.0,-32.5,0.035384614020586014,420.0
59448.84375,2021-08-22T20:13:47.647,335.8333435058594,-32.5,0.03692307695746422,403.0
