"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB170325331","127.483","20.526","57837.331227327","   0.576"," 0.326","  -0.064","bn170325331"
"GRB170326489","304.96","0.59","57838.489331659","   9.728"," 2.721","  -4.352","bn170326489"
"GRB170329387","356.6","9.8","57841.386885867","  33.536"," 6.149","   0.256","bn170329387"
"GRB170402285","330.36","-10.63","57845.285351753","   7.229"," 0.602","   0.003","bn170402285"
"GRB170402961","307.92","-45.93","57845.960709386","  22.528"," 1.143","   0.256","bn170402961"
"GRB170403583","259.339","18.373","57846.582844879","   0.480"," 0.378","  -0.096","bn170403583"
"GRB170403707","246.04","41.81","57846.706634792","  14.016"," 1.145","  -0.640","bn170403707"
"GRB170405777","219.81","-25.244","57848.777348215","  78.593"," 0.572","   7.424","bn170405777"
"GRB170409112","347.58","-7.07","57852.11250567","  64.001"," 0.724","  29.440","bn170409112"
"GRB170412917","201.75","25.28","57855.91721255","  81.601"," 0.923"," -26.241","bn170412917"
"GRB170412988","164.38","22.03","57855.988144443","  31.232"," 1.280","   0.256","bn170412988"
"GRB170414551","43.5","75.89","57857.550882101","  45.824"," 5.526","  -0.768","bn170414551"
"GRB170416583","284.22","-57.02","57859.58340106","  61.952"," 0.572","  -5.120","bn170416583"
"GRB170419898","60.498","-15.143","57862.898458414","  24.064"," 0.572","   0.000","bn170419898"
"GRB170419983","264.87","-11.23","57862.983505507","  12.541"," 4.359","   0.003","bn170419983"
"GRB170422343","188.63","16.82","57865.342993324","  25.344"," 0.572","   8.672","bn170422343"
"GRB170423719","344.34","-4.26","57866.718846657","  46.593"," 1.145","   3.072","bn170423719"
"GRB170423872","209.6","26.37","57866.87179754","   9.984"," 0.724","  -0.256","bn170423872"
"GRB170424425","343.53","-45.2","57867.425355952","  53.249"," 3.167","   2.816","bn170424425"
"GRB170428136","4.76","56.23","57871.136313175","  27.648"," 3.974","  -5.632","bn170428136"
"GRB170429799","259.71","-32.77","57872.799451351"," 220.163"," 1.379","-131.842","bn170429799"
"GRB170430204","34.88","-15.17","57873.204395215","   0.384"," 0.773","  -0.192","bn170430204"
"GRB170501467","97.01","13.71","57874.466594793","  47.360"," 3.415","  -0.768","bn170501467"
"GRB170504734","292.76","27.64","57877.734386405","   0.704"," 1.139","  -0.832","bn170504734"
"GRB170506169","112.26","51.87","57879.168613439","   0.832"," 1.950","  -0.448","bn170506169"
"GRB170510217","159.911","-39.328","57883.21696452"," 127.746"," 0.923","   2.816","bn170510217"
"GRB170511249","300.633","33.315","57884.249443473","  40.705"," 0.572","   0.512","bn170511249"
"GRB170511477","94.9","56.56","57884.477026888","   2.304"," 1.280","  -0.768","bn170511477"
"GRB170511648","160.04","77.17","57884.647977598","   1.280"," 1.557","  -1.280","bn170511648"
"GRB170514152","142.74","71.93","57887.15183116","  12.032"," 2.828","  -0.256","bn170514152"
"GRB170514180","122.1","-25.3","57887.179616722"," 103.938"," 0.923","   1.280","bn170514180"
"GRB170516808","12.26","-6.41","57889.808402823","  11.008"," 6.802","  -5.120","bn170516808"
"GRB170520202","244.54","-5.29","57893.202230329","   6.144"," 5.081","  -4.096","bn170520202"
"GRB170521882","81.48","63.49","57894.882486402","   7.680"," 1.999","  -4.864","bn170521882"
"GRB170522657","139.34","25.67","57895.656658354","   7.424"," 0.572","   0.576","bn170522657"
"GRB170527480","195.19","0.94","57900.479888585","  49.153"," 1.557","   1.088","bn170527480"
"GRB170530581","117.24","14.58","57903.580703545","  19.456"," 1.145","  -6.912","bn170530581"
"GRB170604603","340.44","40.67","57908.602836647","   0.320"," 0.143","  -0.064","bn170604603"
"GRB170606968","123.16","43.93","57910.968257228","  11.264"," 0.724","  -1.536","bn170606968"
"GRB170607946","246.661","-39.159","57911.945821144","  18.176"," 0.362","   2.816","bn170607946"
"GRB170607971","7.343","9.238","57911.970828317","  20.928"," 2.096","  -0.128","bn170607971"
"GRB170610689","68.91","46.48","57914.688745874","  19.200"," 0.362","   0.256","bn170610689"
"GRB170611937","173.58","-7.37","57915.937215551","  27.904"," 1.999","  -3.840","bn170611937"
"GRB170614255","70.55","37.93","57918.254646443"," 122.626"," 2.429","   1.280","bn170614255"
"GRB170614486","220.71","47.5","57918.485956691","  26.880"," 1.280","   2.560","bn170614486"
"GRB170614505","310.99","-37.91","57918.504614767","   5.376"," 1.639","  -2.048","bn170614505"
"GRB170616047","132.21","-3.89","57920.047024378","   9.216"," 1.619","  -1.536","bn170616047"
"GRB170616165","49.51","19.67","57920.165364386","  56.320"," 6.085","   0.000","bn170616165"
"GRB170618475","14.83","26.74","57922.475475144","  52.481"," 1.639","  -4.096","bn170618475"
"GRB170621784","76.06","-26.44","57925.78435625","  32.000"," 5.894","  -5.888","bn170621784"
"GRB170625692","106.7","-69.35","57929.691521458","  22.784"," 8.798","  -2.560","bn170625692"
"GRB170626401","165.414","56.469","57930.400948547","  12.288"," 0.362","   0.512","bn170626401"
"GRB170627931","36.52","-58.7","57931.931255868","  17.152"," 0.923","  -6.912","bn170627931"
"GRB170629537","130.016","-46.587","57933.537171605","  28.160"," 7.186","   1.024","bn170629537"
"GRB170705115","191.704","18.3074","57939.115173979","  22.781"," 1.377","   0.004","bn170705115"
"GRB170705200","359.51","-21.94","57939.200348424","  27.648"," 0.724","  -0.256","bn170705200"
"GRB170705244","237.61","-7.43","57939.243580518","   5.888"," 1.379","  -2.304","bn170705244"
"GRB170708046","335.835","19.798","57942.045963608","   0.144"," 0.045","  -0.016","bn170708046"
"GRB170709334","310.04","2.2","57943.333610873","   1.856"," 0.898","  -0.576","bn170709334"
"GRB170710340","43.122","42.679","57944.34037032","  42.240"," 4.636","   0.512","bn170710340"
"GRB170711019","66.69","-30.69","57945.018666389","  15.104"," 2.769","  -1.280","bn170711019"
"GRB170711713","278.61","17.24","57945.712922188","   1.152"," 1.288","  -0.832","bn170711713"
"GRB170711931","45.786","47.85","57945.930848413","  12.288"," 2.429","  -1.280","bn170711931"
"GRB170714049","18.2","29.54","57948.049202813","   0.224"," 0.396","  -0.224","bn170714049"
"GRB170715878","287.22","-16.61","57949.877931877","  12.800"," 1.864","  -2.816","bn170715878"
"GRB170717952","337.69","41.11","57951.952337386","  11.776"," 1.864","  -0.512","bn170717952"
"GRB170718152","102.27","-35","57952.152432497","  40.192"," 4.136","  -9.984","bn170718152"
"GRB170722525","50.04","14.29","57956.525160032","  37.376"," 3.916","   0.000","bn170722525"
"GRB170723076","135.94","-19.44","57957.07581487","  20.224"," 2.429","  -4.096","bn170723076"
"GRB170723677","22.07","62.68","57957.677405732","  20.992"," 3.083","  -1.792","bn170723677"
"GRB170723882","212.58","39.83","57957.882155696","   5.376"," 3.727","  -4.096","bn170723882"
"GRB170724543","172.02","49.56","57958.543413189","  19.200"," 4.419","  -0.512","bn170724543"
"GRB170726249","166.42","-34","57960.248789579","   1.792"," 0.923","  -0.768","bn170726249"
"GRB170726794","297.78","6.62","57960.79374972","  78.080"," 1.864","  -1.536","bn170726794"
"GRB170727841","218.85","-61.84","57961.840946543","  19.200"," 3.974","  -2.304","bn170727841"
"GRB170728961","237.981","70.1222","57962.960641602","  46.336"," 0.810","   0.000","bn170728961"
"GRB170730133","323.91","-29.75","57964.133154942","   6.656"," 0.923","  -1.280","bn170730133"
"GRB170731751","245.21","64.28","57965.751154511","  90.112"," 2.360"," -35.328","bn170731751"
"GRB170801690","343.18","-41.75","57966.690085605","  10.240"," 2.896","  -5.376","bn170801690"
"GRB170802638","52.3","-39.21","57967.637787052","   2.240"," 0.143","  -0.128","bn170802638"
"GRB170803172","76.5","23.97","57968.171710044","   6.656"," 3.338","  -0.768","bn170803172"
"GRB170803415","352.69","-46.33","57968.415095553","  66.816"," 2.636","  -4.096","bn170803415"
"GRB170803729","174.935","-16.312","57968.729480461","   3.584"," 0.320","  -0.192","bn170803729"
"GRB170804911","261.26","34.14","57969.911359455","  26.368"," 2.187"," -11.008","bn170804911"
"GRB170805901","243.97","36.38","57970.901268389","  25.856"," 4.375","  -1.536","bn170805901"
"GRB170808065","3.33","62.29","57973.065386454","   4.352"," 0.810","  -0.256","bn170808065"
"GRB170808936","145.66","2.18","57973.935915489","  17.664"," 0.572","   4.096","bn170808936"
"GRB170810918","187.939","3.6603","57975.917842415"," 136.960","14.954"," -17.664","bn170810918"
"GRB170813051","201.058","-5.4908","57978.050796334"," 111.872"," 4.871","  -0.512","bn170813051"
"GRB170816258","10.7","-15.61","57981.257776387","  61.440"," 8.816"," -14.336","bn170816258"
"GRB170816599","350.841","12.853","57981.599351331","   1.600"," 0.143","  -0.064","bn170816599"
"GRB170817529","197.45","-23.3815","57982.52854716","   2.048"," 0.466","  -0.192","bn170817529"
"GRB170817908","83.03","50.07","57982.908037429","   2.624"," 0.181","   0.000","bn170817908"
"GRB170818137","297.22","6.35","57983.137036799","   0.576"," 2.519","  -0.064","bn170818137"
"GRB170821265","252.86","19.11","57986.265287591","  52.992","12.312","  -1.536","bn170821265"
"GRB170825307","274.44","-26.17","57990.306960864","   6.656"," 0.923","  -0.512","bn170825307"
"GRB170825500","3.64","20.12","57990.500069416","   7.168"," 0.572","   0.256","bn170825500"
"GRB170825784","116.32","-48.72","57990.784155571","  65.024"," 7.331"," -43.264","bn170825784"
"GRB170826369","64.338","21.074","57991.36883697","   0.256"," 0.091","  -0.160","bn170826369"
"GRB170826819","327.7","-31.8","57991.818709242","  11.008"," 0.724","   1.280","bn170826819"
