"name","ra","dec","trigger_time","t90","t90_error","t90_start","trigger_name"
"GRB180306479","190.21","-14.14","58183.478795726","  63.488"," 5.753","  -7.168","bn180306479"
"GRB180306973","21.27","-20.3","58183.972614971","  39.680"," 0.724","  -6.144","bn180306973"
"GRB180307073","127.27","24.48","58184.072741585"," 136.707"," 1.379"," -37.633","bn180307073"
"GRB180309322","186.07","34.48","58186.321650638","  24.576"," 4.048","  -3.584","bn180309322"
"GRB180311074","53.95","-35.77","58188.073533578","   0.960"," 0.528","  -0.448","bn180311074"
"GRB180313978","317.51","-26.55","58190.977980654","   0.080"," 0.410","   0.000","bn180313978"
"GRB180314030","99.2651","-24.4963","58191.030091417","  22.016"," 0.572","   0.768","bn180314030"
"GRB180330891","164.18","83.87","58207.891151872","  14.333"," 1.305","   0.003","bn180330891"
"GRB180401280","126.66","6.97","58209.279673418","  33.792"," 2.919"," -21.248","bn180401280"
"GRB180401846","166.57","-41.42","58209.845563547","  23.040"," 1.056","   2.304","bn180401846"
"GRB180402406","251.905","-14.963","58210.406242679","   0.448"," 0.326","  -0.320","bn180402406"
"GRB180402481","338.63","-27.82","58210.480690118","   0.256"," 0.181","  -0.256","bn180402481"
"GRB180403565","109.05","-0.22","58211.564524956","  36.609"," 5.993"," -15.104","bn180403565"
"GRB180404091","53.3967","-50.2151","58212.091419487","  80.897"," 2.290","   1.024","bn180404091"
"GRB180404848","101.66","12.56","58212.847587482","   0.544"," 0.842","  -0.480","bn180404848"
"GRB180405169","123.62","-33.5","58213.168669691","  28.477"," 2.834","   0.003","bn180405169"
"GRB180409346","178.18","36.05","58217.346049418","  13.056"," 0.362","   1.280","bn180409346"
"GRB180410336","95.957","12.811","58218.335738339"," 102.402"," 4.857","  -2.048","bn180410336"
"GRB180411519","356.829","66.791","58219.519224176","  77.570"," 2.996","   1.792","bn180411519"
"GRB180411546","284.13","-33.38","58219.546455942","  29.696"," 8.452","  -8.960","bn180411546"
"GRB180412425","62.32","-59.01","58220.425069538","  20.992"," 0.722","   0.256","bn180412425"
"GRB180413118","168.18","-31.56","58221.117861491","  57.857"," 2.360"," -22.273","bn180413118"
"GRB180416340","116.31","-48.58","58224.339889692"," 103.426"," 6.405","   1.792","bn180416340"
"GRB180416924","353.54","74.63","58224.923744295","  69.888"," 3.114","   0.512","bn180416924"
"GRB180417689","309.2","-19.51","58225.689417287","   0.256"," 1.218","  -0.064","bn180417689"
"GRB180418281","170.121","24.9328","58226.28062826","   2.560"," 0.202","  -0.064","bn180418281"
"GRB180420031","93.51","-28.32","58228.031364807","  59.392"," 1.280","  -1.280","bn180420031"
"GRB180420107","83.23","-25.25","58228.10688226","  62.977"," 4.222"," -19.456","bn180420107"
"GRB180423033","208.68","9.84","58231.032681212","  54.784"," 2.360","  -8.192","bn180423033"
"GRB180423266","81.3","-27.26","58231.266443991","   3.328"," 1.619","  -0.512","bn180423266"
"GRB180426005","251.24","81.39","58234.004657362","  38.145"," 1.280","  -4.096","bn180426005"
"GRB180426549","202.41","58.17","58234.54931535","  16.189"," 0.831","   0.003","bn180426549"
"GRB180427442","283.33","70.3","58235.442396338","  25.921"," 0.716","   1.088","bn180427442"
"GRB180428102","92.12","54.78","58236.102260522","  64.510"," 0.923","   0.003","bn180428102"
"GRB180504136","220.23","38.72","58242.136039701","  25.345"," 0.923","  -1.280","bn180504136"
"GRB180505540","4.51","-59.89","58243.539698003","  21.760"," 0.923","   1.792","bn180505540"
"GRB180506077","249.38","5.08","58244.076684716","  44.033"," 3.593","   0.256","bn180506077"
"GRB180506902","61.18","-0.85","58244.902070658","  23.296"," 2.429","  -5.888","bn180506902"
"GRB180511364","250.42","-8.18","58249.363608631","   0.128"," 1.207","  -0.032","bn180511364"
"GRB180511437","257.78","9.07","58249.43741442","   1.984"," 0.968","  -0.256","bn180511437"
"GRB180511606","261.95","-1.23","58249.605775295","   9.216"," 1.619","  -1.024","bn180511606"
"GRB180513815","225.44","39.45","58251.815302543","  20.480"," 8.386","  -3.840","bn180513815"
"GRB180515814","138.58","73.87","58253.814170285","  20.224"," 0.572","   1.024","bn180515814"
"GRB180516229","267.89","-28.75","58254.229017831","  13.824"," 4.672","  -0.512","bn180516229"
"GRB180517309","284.39","32.04","58255.308580787","  41.728"," 3.093"," -37.888","bn180517309"
"GRB180521935","102.23","53.29","58259.935384744","  31.232"," 7.940"," -14.336","bn180521935"
"GRB180522607","300.1","-16.53","58260.607391996","   6.912"," 2.429","  -1.024","bn180522607"
"GRB180522678","348.4","43.75","58260.67821079","  12.032"," 0.724","  -0.512","bn180522678"
"GRB180523782","168.38","49.45","58261.782269756","   1.984"," 1.350","  -0.064","bn180523782"
"GRB180524416","140.05","-39.05","58262.415582316","  13.312"," 6.720","  -3.072","bn180524416"
"GRB180524920","83.75","30.11","58262.920166338","   4.096"," 1.305","  -1.792","bn180524920"
"GRB180525151","103.29","19.93","58263.151378266","   0.544"," 0.689","  -0.064","bn180525151"
"GRB180528371","284.67","-65.02","58266.370629122","  16.896"," 2.919","  -2.304","bn180528371"
"GRB180528465","206.46","30.18","58266.465150829","   8.192"," 3.125","  -7.936","bn180528465"
"GRB180602938","86.05","-62.78","58271.93825627","   0.008"," 0.736","  -0.016","bn180602938"
"GRB180605458","47.51","-48.025","58274.457930285","  24.064"," 0.810","   0.576","bn180605458"
"GRB180606730","261.65","-35.67","58275.730308055","   6.080"," 0.689","  -0.448","bn180606730"
"GRB180610377","205.52","-36.87","58279.377235898"," 163.331"," 4.529"," -69.121","bn180610377"
"GRB180610568","287.78","7.43","58279.568373968","   8.448"," 0.810","  -4.864","bn180610568"
"GRB180610791","308.64","34.3","58279.790841059","  27.648"," 4.471","  -0.768","bn180610791"
"GRB180611145","51.61","-47.86","58280.145155794","   8.960"," 0.572","  -0.256","bn180611145"
"GRB180612785","15.52","15.11","58281.784808455"," 101.122"," 1.056","   0.256","bn180612785"
"GRB180614327","52.22","-75.17","58283.327131035","   9.216"," 2.573","  -8.960","bn180614327"
"GRB180615462","55.77","78.28","58284.462457367","  22.528"," 1.810","  -0.256","bn180615462"
"GRB180617872","106.89","24.87","58286.871799346","   1.920"," 0.779","  -0.960","bn180617872"
"GRB180618030","169.937","73.848","58287.030012905","   3.712"," 0.580","  -0.064","bn180618030"
"GRB180618724","317.19","7.21","58287.723683475"," 130.050"," 1.280","   2.048","bn180618724"
"GRB180620354","144.42","12.38","58289.353741877","  98.050"," 1.145"," -69.825","bn180620354"
"GRB180620660","357.521","-57.9631","58289.660139524","  46.721"," 1.332","  -0.512","bn180620660"
"GRB180622273","201.56","-76.4","58291.2727141","  13.568"," 2.611","  -1.280","bn180622273"
"GRB180622578","106.54","77.1","58291.578265779","  58.881"," 6.415","   0.768","bn180622578"
"GRB180623849","199.4","-4.26","58292.848961222","  15.872"," 0.810","   1.856","bn180623849"
"GRB180625941","39.13","-62.31","58294.940760522","   0.704"," 0.680","  -0.128","bn180625941"
"GRB180626392","285.06","44.82","58295.391558426","   0.960"," 0.405","  -0.640","bn180626392"
"GRB180630335","133.07","-69.94","58299.335405826","  48.896"," 5.724","  -2.304","bn180630335"
"GRB180630467","48.9589","-87.4785","58299.466601915","  12.032"," 1.864","  -2.048","bn180630467"
"GRB180701469","200.47","-16.37","58300.468802204","  25.601"," 1.619","   2.304","bn180701469"
"GRB180703876","6.54","-67.1","58302.876163137","  20.736"," 1.557","   1.536","bn180703876"
"GRB180703949","96.92","-29.88","58302.949205061","   1.536"," 0.091","   0.128","bn180703949"
"GRB180706351","181.643","66.0366","58305.350798911","  38.144"," 1.145"," -28.928","bn180706351"
"GRB180709099","329.19","-26.66","58308.098651217","  11.008"," 1.280","  -4.096","bn180709099"
"GRB180710062","200.66","-32.24","58309.061559138","  90.112"," 3.208","  -9.216","bn180710062"
"GRB180712358","128.45","-12.81","58311.358130031","  37.120"," 9.441","  -2.304","bn180712358"
"GRB180712651","302.58","-20.33","58311.651417324","  54.272"," 3.114","  -0.512","bn180712651"
"GRB180715087","331.19","39.17","58314.086973099","   5.120"," 3.083","  -1.024","bn180715087"
"GRB180715741","210.65","82.06","58314.741193177","   1.664"," 1.421","  -0.064","bn180715741"
"GRB180715755","235.069","-0.925","58314.754919691","   0.704"," 0.286","  -0.192","bn180715755"
"GRB180718082","336.019","2.79","58317.081766214","   0.080"," 0.182","  -0.048","bn180718082"
"GRB180718201","11.38","-46.12","58317.200696764","   7.168"," 0.923","  -2.048","bn180718201"
"GRB180718763","44.677","-31.503","58317.762783143","  98.306"," 4.891","   1.600","bn180718763"
"GRB180720213","127.04","-0.42","58319.212523814","   8.896"," 0.466","   0.704","bn180720213"
"GRB180720598","0.5279","-2.917","58319.598375629","  48.897"," 0.362","   4.352","bn180720598"
"GRB180720933","265.635","-26.6304","58319.933254072","  23.296"," 1.493","  -8.448","bn180720933"
"GRB180721642","235.15","12.92","58320.642452938","   0.064"," 0.072","  -0.032","bn180721642"
"GRB180722120","108.79","-19.85","58321.120382823","  12.544"," 2.187","  -7.168","bn180722120"
"GRB180722418","314","17.62","58321.417822736","  51.457"," 7.953","  -2.048","bn180722418"
"GRB180722993","55.35","41.7","58321.992518119","  86.530"," 1.056","   4.608","bn180722993"
"GRB180723133","130.03","-67.15","58322.132515471","   3.072"," 0.923","  -0.768","bn180723133"
"GRB180723757","7.84","-66.11","58322.756807414","  19.712"," 0.572","   0.768","bn180723757"
"GRB180724807","285.24","-33.66","58323.807309581","  58.113"," 0.810","   1.024","bn180724807"
"GRB180724984","58.49","-22.95","58323.98354511","   4.608"," 2.064","  -2.304","bn180724984"
"GRB180727594","346.665","-63.0505","58326.594083492","   0.896"," 0.286","  -0.192","bn180727594"
"GRB180728575","222.35","3.26","58327.575259722","   6.144"," 2.111","  -0.768","bn180728575"
"GRB180728728","253.569","-54.031","58327.728498579","   6.400"," 0.362","  10.240","bn180728728"
"GRB180728882","222.078","15.942","58327.881931861","   0.832"," 0.580","  -0.064","bn180728882"
"GRB180730018","98.03","44.54","58329.017828046","   0.256"," 0.707","  -0.256","bn180730018"
"GRB180731891","308.93","20.6","58330.891222675","  31.233"," 2.828","  -0.256","bn180731891"
"GRB180801276","240.92","-11.43","58331.275735119","   0.320"," 0.551","  -0.064","bn180801276"
"GRB180801492","3.38","-70.68","58331.492154747","   7.424"," 1.145","  -0.512","bn180801492"
"GRB180803590","71.63","57.65","58333.590158957","   0.384"," 2.382","  -0.384","bn180803590"
"GRB180804554","136.71","-33.24","58334.553951814","  43.517"," 2.636","   0.004","bn180804554"
"GRB180804765","139.67","-68.9","58334.765505158","  21.504"," 3.415","  -5.120","bn180804765"
"GRB180804909","178.76","29.9","58334.909053011","   4.608"," 3.083","  -4.096","bn180804909"
"GRB180804931","109.36","-69.32","58334.930998653","  18.432"," 4.672","  -3.328","bn180804931"
"GRB180805543","25.813","-17.503","58335.54347819","   0.960"," 0.590","  -0.448","bn180805543"
"GRB180806665","30.49","-19.7","58336.66525813","   8.448"," 0.923","  -2.560","bn180806665"
"GRB180806944","11.5536","24.337","58336.943746078","  15.616"," 0.810","  -1.024","bn180806944"
"GRB180807097","349.93","-47.84","58337.097161111","  54.272"," 6.085"," -16.896","bn180807097"
"GRB180809485","297.793","-34.663","58339.48486199"," 236.036","10.746"," -62.209","bn180809485"
"GRB180810278","32.23","-33.74","58340.278318797","  15.104"," 1.493","  -1.792","bn180810278"
"GRB180812349","245.836","74.6647","58342.348961882","  38.400"," 6.661","  -0.256","bn180812349"
"GRB180814505","278.36","-1.26","58344.504792507"," 100.608"," 2.919"," -50.432","bn180814505"
"GRB180816088","126.21","-36.71","58346.088413343","  34.561"," 0.923","  -0.256","bn180816088"
"GRB180816930","212.28","15.49","58346.93046671","  19.456"," 5.473","  -6.400","bn180816930"
"GRB180818179","179.71","35.86","58348.179132288","   4.416"," 1.319","  -0.576","bn180818179"
"GRB180818520","104.235","39.329","58348.520106987"," 169.216"," 6.987"," -36.096","bn180818520"
"GRB180821653","309.78","-38.12","58351.653231747","  13.568"," 1.846","  -2.048","bn180821653"
"GRB180822423","209.54","-16.85","58352.42253577","   8.448"," 0.724","  -0.512","bn180822423"
"GRB180822562","185.25","-61.49","58352.561505209"," 152.003"," 1.639","  -5.760","bn180822562"
"GRB180823442","2.24","27.62","58353.442109117","  47.745"," 4.935","  -5.120","bn180823442"
"GRB180826055","62.46","-22.45","58356.055040998"," 290.565"," 3.999"," -84.482","bn180826055"
"GRB180828790","268.718","-25.7991","58358.789890936","   8.256"," 0.091","   1.600","bn180828790"
"GRB180905400","293.87","12.9","58366.400111873","   7.168"," 1.056","  -0.768","bn180905400"
"GRB180906597","104.81","-67.02","58367.597127074","  52.030"," 2.127","   0.003","bn180906597"
"GRB180906759","270.12","-67.67","58367.758633528","  13.309"," 1.055","   0.003","bn180906759"
"GRB180906988","318.44","-5.47","58367.987895415","   3.328"," 0.362","  -0.256","bn180906988"
"GRB180910032","188.35","70.12","58371.032094738","  38.401"," 6.026","  -2.048","bn180910032"
"GRB180910156","352.82","-0.88","58371.155741701","  28.928"," 2.111","  -0.768","bn180910156"
"GRB180910352","263.68","-34.94","58371.352453788","   0.256"," 0.842","  -0.064","bn180910352"
"GRB180912274","202","-26.23","58373.273770908","  41.217"," 0.810","  -0.512","bn180912274"
"GRB180913783","350.85","44.37","58374.783420604","   0.768"," 0.143","  -0.064","bn180913783"
"GRB180914522","53.107","-6.687","58375.522074624"," 122.370"," 0.572","   9.984","bn180914522"
"GRB180917477","160.46","-3.46","58378.476872735","   4.864"," 1.810","  -3.072","bn180917477"
"GRB180922461","19.18","-0.13","58383.461018787","   6.400"," 1.864","  -0.512","bn180922461"
"GRB180922734","345.53","-14.99","58383.733924541","  16.896"," 5.684"," -12.032","bn180922734"
"GRB180923931","310.61","-0.7","58384.930908965","   8.192"," 0.724","   0.512","bn180923931"
"GRB180925407","181.91","-25.36","58386.407297972","   0.896"," 0.923","  -0.576","bn180925407"
"GRB180927993","236.05","-1.72","58388.992594828","   4.608"," 3.208","  -1.024","bn180927993"
"GRB180929453","244.69","-8.95","58390.453170363","   2.944"," 0.345","  -0.256","bn180929453"
"GRB181002617","270.41","-6.49","58393.616520157","   1.664"," 0.202","  -0.064","bn181002617"
"GRB181007385","303.67","-15.65","58398.384999769","  46.336"," 8.452"," -26.624","bn181007385"
"GRB181007737","211.22","-79.69","58398.737133932","  23.552"," 0.362","  -0.256","bn181007737"
"GRB181008269","44.66","30.17","58399.269312295","  33.025"," 0.572","   3.328","bn181008269"
"GRB181008877","94.65","-39.54","58399.876653274"," 224.516"," 5.615"," -15.872","bn181008877"
"GRB181010247","52.557","-23.035","58401.247215179","   9.728"," 2.187","  -8.704","bn181010247"
"GRB181014479","228.92","16.54","58405.479335858","  33.537"," 2.996","  -1.024","bn181014479"
"GRB181016718","11.43","22.38","58407.717655133","   0.080"," 0.788","  -0.032","bn181016718"
"GRB181020424","226.13","39.26","58411.424292857","  13.312"," 4.857","  -9.984","bn181020424"
"GRB181020792","13.9837","-47.3796","58411.792052054","  15.104"," 0.572","   0.512","bn181020792"
"GRB181022846","216.26","-65.29","58413.846186397","  13.824"," 4.579","  -0.512","bn181022846"
"GRB181026540","352.43","-47.37","58417.539583767","  44.800"," 3.620","   0.256","bn181026540"
"GRB181027076","225.383","30.891","58418.076242007","  89.856"," 5.278"," -60.416","bn181027076"
"GRB181028590","88.9","-22","58419.590075574","  29.697"," 0.810","   2.048","bn181028590"
"GRB181029892","274.28","-25.53","58420.892202874","  18.688"," 2.757","  -0.512","bn181029892"
"GRB181103046","295.48","-73.76","58425.046361209","  11.776"," 3.727","  -2.560","bn181103046"
"GRB181111654","93.09","12.42","58433.654338251","  15.104"," 0.923","  -0.768","bn181111654"
"GRB181116484","5.25","-23.72","58438.483880648","  68.609"," 0.810","   3.328","bn181116484"
"GRB181117663","352.68","24.57","58439.66340344","  87.554"," 1.086"," -28.161","bn181117663"
"GRB181119606","86.4","37.11","58441.605753865","  16.445"," 0.602","   0.003","bn181119606"
"GRB181119649","72.55","26.43","58441.649411241","  25.344"," 0.572","   0.000","bn181119649"
"GRB181120265","20.38","4.17","58442.26480421","  17.374"," 0.799","   0.003","bn181120265"
"GRB181121307","130.95","31.5","58443.306588746","   0.256"," 0.528","  -0.320","bn181121307"
"GRB181121401","251.47","37.58","58443.400686286","   0.192"," 0.516","  -0.064","bn181121401"
"GRB181122381","93.69","34.4","58444.381285414","  73.728"," 2.996","   0.256","bn181122381"
"GRB181125092","208.6","-5.25","58447.091672298","   9.216"," 4.871","  -5.632","bn181125092"
"GRB181125371","268.413","-2.613","58447.371316347","   3.840"," 2.290","  -1.792","bn181125371"
"GRB181126162","80.58","18.71","58448.161693865","   1.664"," 0.453","  -1.472","bn181126162"
"GRB181126413","152.348","-29.6875","58448.412615078","   2.112"," 0.405","  -1.920","bn181126413"
"GRB181126729","53.92","-5.82","58448.729028716","   9.216"," 3.665","  -4.608","bn181126729"
"GRB181127274","5.66","52.97","58449.274327504","  12.288"," 2.673","  -2.304","bn181127274"
"GRB181128129","10.27","-64.3","58450.128771385","   1.728"," 2.166","  -0.640","bn181128129"
"GRB181128751","182.82","-66.74","58450.75132164","  17.664"," 1.619","  -0.768","bn181128751"
"GRB181203880","183.25","-11.04","58455.879538029","  41.217"," 2.573","  -0.256","bn181203880"
"GRB181206970","243","-6.94","58458.969779633","  89.088"," 2.919","  -4.608","bn181206970"
"GRB181208188","104.11","-66.66","58460.188009413","  62.465"," 4.167","  -3.584","bn181208188"
"GRB181212693","298.39","-3.7","58464.69289407","  57.601"," 1.305","   0.832","bn181212693"
"GRB181215110","129.99","-18.37","58467.110163054","  37.438"," 4.364","   0.003","bn181215110"
"GRB181216551","212.51","46.8","58468.550828759","  43.520","21.262","  -8.448","bn181216551"
"GRB181217665","330.56","29.9","58469.664572199","  42.497"," 3.328","   1.792","bn181217665"
"GRB181221565","263.3","60.62","58473.565498368","  15.616"," 3.167","  -4.864","bn181221565"
"GRB181222279","270.731","-38.848","58474.278868684"," 130.691"," 0.516","   2.240","bn181222279"
"GRB181222841","311.15","22.86","58474.841405537","   0.576"," 0.023","   0.032","bn181222841"
"GRB181224987","192.99","-36.3","58476.987354785","   1.088"," 0.487","  -0.192","bn181224987"
"GRB181225489","348.07","-9.48","58477.489010806","  41.473"," 2.862","  -0.992","bn181225489"
"GRB181225786","327.53","76.26","58477.786436935","   1.792"," 1.286","  -0.128","bn181225786"
"GRB181226600","50.19","18.1","58478.59983589","   5.120"," 1.379","  -1.280","bn181226600"
"GRB181227262","24.22","-56.12","58479.261811291","  13.184"," 0.202","   1.984","bn181227262"
"GRB181227571","230.52","1.27","58479.571198708","  25.856"," 3.840","  -3.840","bn181227571"
"GRB181228120","49.8121","13.2021","58480.120312069","  17.664"," 0.320","   1.920","bn181228120"
"GRB181231144","254.59","0.61","58483.144256312","  36.865"," 3.665","  -6.912","bn181231144"
"GRB181231359","31.96","-46.44","58483.358837846","   3.072"," 0.923","  -0.768","bn181231359"
"GRB181231954","34.1","75.36","58483.95447795","  28.929"," 2.360","  -2.304","bn181231954"
"GRB190102258","86.39","16.69","58485.257999128"," 122.112"," 7.442","  -0.512","bn190102258"
"GRB190106866","345.62","6.71","58489.866093472","  11.773"," 0.571","   0.003","bn190106866"
"GRB190107050","353.62","-22.17","58490.050463365","  67.584"," 4.924","  -2.304","bn190107050"
"GRB190109217","33.202","38.1081","58492.217239007"," 123.902","11.449","   0.004","bn190109217"
"GRB190109497","55.487","63.5919","58492.497346794","   8.192"," 2.996","  -5.376","bn190109497"
"GRB190110726","276.882","-53.676","58493.725569539","   8.960"," 0.810","  -0.768","bn190110726"
"GRB190114873","54.51","-26.939","58497.872947059"," 116.354"," 2.563","   0.704","bn190114873"
"GRB190117369","105.27","-20.57","58500.36856014","  35.585"," 3.974","  -1.024","bn190117369"
"GRB190118937","248.91","77.14","58501.937383476","   0.576"," 0.453","  -0.064","bn190118937"
"GRB190119249","192.24","-59.82","58502.249346938","  34.304"," 9.319","  -1.280","bn190119249"
"GRB190122305","258.71","48.12","58505.304948773","  54.016"," 3.338","   0.000","bn190122305"
"GRB190123513","53.2206","45.5253","58506.513405296","  16.896"," 6.085","  -9.472","bn190123513"
"GRB190129515","11.459","-31.887","58512.515067972","   8.704"," 1.379","  -1.280","bn190129515"
"GRB190129539","122.85","39.11","58512.538688368","   9.984"," 5.620","  -1.280","bn190129539"
"GRB190131109","68.82","23.7","58514.108726134","  49.920"," 4.924","  -5.120","bn190131109"
"GRB190131964","42.32","35.54","58514.964301772","  63.232"," 7.697","   0.256","bn190131964"
"GRB190202069","166.053","9.3779","58516.069053355","  18.432"," 1.056","   1.536","bn190202069"
"GRB190202234","225.13","44.11","58516.233978215","  97.536"," 2.172"," -34.560","bn190202234"
"GRB190202634","113.94","5.73","58516.634177536","  17.152"," 4.048"," -10.240","bn190202634"
"GRB190204627","94.86","-16.15","58518.626978167","  41.216"," 0.923"," -22.272","bn190204627"
"GRB190205938","307.61","-45.43","58519.938375668","  98.050"," 5.030"," -63.745","bn190205938"
"GRB190212482","30.6","-6.54","58526.481619075","  17.920"," 0.923","  -0.256","bn190212482"
"GRB190215772","340.39","37.45","58529.771787907","  23.296"," 0.810","   1.536","bn190215772"
"GRB190217188","167.77","-18.74","58531.188496959","  11.520"," 2.187","  -8.448","bn190217188"
"GRB190218330","294.12","16.45","58532.329552585","  50.177"," 0.923","  -0.512","bn190218330"
"GRB190220844","242.451","-21.1314","58534.844114487"," 108.544"," 1.280"," -49.664","bn190220844"
"GRB190222312","214.53","-40.53","58536.312216735","  13.824"," 1.379","  -2.304","bn190222312"
"GRB190222537","147.32","60.94","58536.537119801","  13.312"," 2.318","   0.320","bn190222537"
"GRB190226515","224.43","-8.61","58540.515111993","   0.192"," 0.132","  -0.032","bn190226515"
"GRB190228973","271.07","-9.94","58542.973105518","  50.944"," 6.085","  -7.680","bn190228973"
"GRB190303240","296.16","16.77","58545.23984068","  64.768"," 6.085","  -6.912","bn190303240"
"GRB190304371","355.38","31.4","58546.371244389","  62.208"," 2.360","  -0.768","bn190304371"
"GRB190304818","357.74","-74.84","58546.817631278","   2.880"," 0.547","  -1.600","bn190304818"
"GRB190306943","231.07","-0.38","58548.94286086"," 180.483"," 6.964"," -12.544","bn190306943"
"GRB190307151","20.39","-18.93","58549.150885848","  75.521"," 2.187","   4.096","bn190307151"
"GRB190308923","171.94","-21.73","58550.923457642","  45.568"," 2.828","   0.000","bn190308923"
"GRB190310398","349.28","12.12","58552.397599179","  59.393"," 0.923","   2.816","bn190310398"
"GRB190311600","212.065","53.5004","58553.599740755","  12.544"," 5.278","  -5.632","bn190311600"
"GRB190312446","330.65","25.48","58554.445958261","  12.800"," 1.557","  -0.768","bn190312446"
"GRB190315512","146.56","-11.15","58557.512293263","  29.184"," 0.923","   1.792","bn190315512"
"GRB190319353","192.6","-4.81","58561.352980488","  13.886"," 0.831","   0.003","bn190319353"
"GRB190319375","282.93","-7.53","58561.375439584","  21.760"," 1.557","   0.320","bn190319375"
"GRB190320052","117.811","-45.89","58562.051579723","  43.009"," 8.738","  -1.024","bn190320052"
"GRB190321363","315.7","6.62","58563.362891872","  55.809"," 1.619","  -0.256","bn190321363"
"GRB190323179","193.82","75","58565.178645426","   4.736"," 0.453","  -0.448","bn190323179"
"GRB190323303","142.07","2.84","58565.303376019","  30.465"," 4.612","   0.256","bn190323303"
"GRB190323548","15.33","-3.88","58565.547972713","   1.280"," 1.864","  -0.512","bn190323548"
"GRB190323879","34.71","10.26","58565.878701218","  38.401"," 0.572","   5.408","bn190323879"
"GRB190324348","81.03","12.02","58566.348028115","  52.225"," 1.493","   8.960","bn190324348"
"GRB190324947","49.576","-47.239","58566.947252735","  26.881"," 9.941","  16.128","bn190324947"
"GRB190325999","292.42","15.27","58567.999273273"," 316.933"," 5.146","   2.560","bn190325999"
"GRB190326314","264.21","68.32","58568.313645812","  55.809"," 0.810","   2.560","bn190326314"
"GRB190326975","157.09","58.93","58568.975478492","  20.736"," 1.280","   0.768","bn190326975"
"GRB190327111","79.07","-74.67","58569.110543673","  36.864"," 1.448","  -0.256","bn190327111"
"GRB190330694","84.96","20.6","58572.694123543","  36.097"," 0.810","   0.512","bn190330694"
"GRB190331093","28.576","27.619","58573.093490418","   4.800"," 0.771","  -0.064","bn190331093"
"GRB190401139","275.07","30.97","58574.139126592","  42.753"," 2.573","   1.024","bn190401139"
"GRB190404293","121.39","55.42","58577.292614873","   9.472"," 1.999","  -7.424","bn190404293"
"GRB190406450","356.59","20.39","58579.449540791","  11.776"," 3.114","  -6.400","bn190406450"
"GRB190406465","286.34","61.5","58579.465127933","  15.104"," 3.238","  -6.144","bn190406465"
"GRB190406745","292.64","26.79","58579.744828186","  80.384"," 3.338","  -6.144","bn190406745"
"GRB190407575","90.53","-64.14","58580.575425758","  58.880"," 1.864","  -0.512","bn190407575"
"GRB190407672","181.82","40.61","58580.671834404","  17.664"," 3.367","  -0.768","bn190407672"
"GRB190407788","202.74","-7.95","58580.787981223","   2.432"," 0.779","   0.000","bn190407788"
"GRB190409901","229.97","-33.13","58582.901452024","   1.600"," 2.673","  -0.960","bn190409901"
"GRB190411407","285.96","-36.27","58584.406812469","  18.688"," 2.636"," -14.848","bn190411407"
"GRB190411579","45.63","48.63","58584.579144574","  60.928"," 5.910","  -1.280","bn190411579"
"GRB190415173","27.71","17.43","58588.173494951","  52.481"," 0.810","   0.800","bn190415173"
"GRB190419414","106.45","-40.13","58592.413631601"," 212.741"," 0.724","   1.792","bn190419414"
"GRB190420981","319.29","-66.41","58593.980844515","   1.472"," 0.551","  -0.128","bn190420981"
"GRB190422284","306.66","-73.01","58595.283535822","  80.386"," 0.724","  -0.256","bn190422284"
"GRB190422670","189.23","-54.95","58595.670191213","  20.736"," 1.810"," -11.264","bn190422670"
"GRB190422957","182.124","-60.238","58595.957222263"," 213.252","10.746","-150.019","bn190422957"
"GRB190425089","315.43","-15.21","58598.088698432","   7.680"," 4.167","  -4.096","bn190425089"
"GRB190427190","280.213","40.322","58600.190452323","   0.368"," 0.072","  -0.016","bn190427190"
"GRB190428783","28.94","15.85","58601.783477549","  16.640"," 2.828","  -0.512","bn190428783"
"GRB190429743","200.05","-8","58602.742946511","  22.272"," 4.291","  -1.024","bn190429743"
"GRB190501794","156.29","-22","58604.794242963"," 424.967","13.44","-230.66","bn190501794"
"GRB190502168","94.18","3.29","58605.167713134","  11.776"," 1.864","  -1.536","bn190502168"
"GRB190504415","70.49","39.57","58607.4149792","  77.568"," 4.238"," -41.984","bn190504415"
"GRB190504678","137.43","33.01","58607.678105479","   0.704"," 0.528","  -0.576","bn190504678"
"GRB190505051","335.39","42.18","58608.05149687","   0.032"," 0.025","  -0.016","bn190505051"
"GRB190507270","155.96","-12.8","58610.269714131","  84.993"," 3.899","  -2.304","bn190507270"
"GRB190507712","86.22","-61.88","58610.7120016","   0.096"," 0.705","  -0.096","bn190507712"
"GRB190507970","287.82","-22.82","58610.969787475","  36.352"," 2.862","   1.536","bn190507970"
"GRB190508808","177.96","23.53","58611.807527783","  37.633"," 1.056","   0.768","bn190508808"
"GRB190508987","103.51","27.04","58611.98708505"," 119.808"," 9.798"," -58.368","bn190508987"
"GRB190510120","124.54","-53.07","58613.119597596","  69.633"," 1.717","  -2.816","bn190510120"
"GRB190510430","128.13","33.55","58613.430046804","   0.640"," 0.091","  -0.064","bn190510430"
"GRB190511302","126.445","-20.2598","58614.301670813","  27.648"," 1.145","   2.560","bn190511302"
"GRB190512611","82.44","-7.574","58615.611107892","  28.160"," 1.810","  -0.512","bn190512611"
"GRB190515190","137.687","29.276","58618.18961962","   1.264"," 0.471","  -0.112","bn190515190"
