url,GRBName,Trig_no,healpix,locprob
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170301812/quicklook/,bn170301812,510089326,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170302166/quicklook/,bn170302166,510119909,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170302719/quicklook/,bn170302719,510167748,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170302876/quicklook/,bn170302876,510181279,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170303182/quicklook/,bn170303182,510207699,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170304003/quicklook/,bn170304003,510278671,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170305256/quicklook/,bn170305256,510386951,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170306130/quicklook/,bn170306130,510462442,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170306588/quicklook/,bn170306588,510502047,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170308221/quicklook/,bn170308221,510643084,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170310417/quicklook/,bn170310417,510832795,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170310883/quicklook/,bn170310883,510873108,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170313125/quicklook/,bn170313125,511066833,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170315582/quicklook/,bn170315582,511279081,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170316710/quicklook/,bn170316710,511376544,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170317666/quicklook/,bn170317666,511459171,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170318644/quicklook/,bn170318644,511543678,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170323058/quicklook/,bn170323058,511925008,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170323775/quicklook/,bn170323775,511986993,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170325331/quicklook/,bn170325331,512121423,2048,0
http://heasarc.gsfc.nasa.gov/FTP/fermi/data/gbm/triggers/2017/bn170326489/quicklook/,bn170326489,512221483,2048,0
