TrigNum,Date,Time UT,"MesgType GBM LAT","RA (J2000) [deg]","Dec (J2000) [deg]","Error [deg] [arcmin]",Comments
570457306,19/01/29,12:21:41.87,GBM Flight Position,9.683,-28.283,25.07,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 343.93,-0.27 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569991089,19/01/24,02:51:24.16,GBM Flight Position,146.917,-0.583,34.73,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 271.33,25.02 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569834352,19/01/22,07:19:07.57,GBM Final Position,262.310,+44.830,1.15,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. Bright hard burst in the GBM. This is likely a Long GRB. NOTE: This GBM event is temporally(2.0<100sec) coincident with the INTEGRAL_SPIACS event (trignum=8202).
569834352,19/01/22,07:19:07.57,GBM Ground Position,251.340,+52.060,6.40,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. Bright hard burst in the GBM. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_569834352.fits
569834352,19/01/22,07:19:07.57,GBM Flight Position,248.333,+55.800,6.48,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 49.63,-23.72 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569834352,19/01/22,07:19:07.57,GBM Flight Position,248.100,+55.733,9.10,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 49.63,-23.72 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569827749,19/01/22,05:29:04.19,GBM Flight Position,216.733,-43.867,7.08,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 16.15,-20.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569827749,19/01/22,05:29:04.19,GBM Flight Position,216.883,-39.150,7.95,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 16.15,-20.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569827749,19/01/22,05:29:04.19,GBM Flight Position,216.917,-34.900,9.68,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 16.15,-20.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569827749,19/01/22,05:29:04.19,GBM Flight Position,216.917,-33.183,10.98,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 16.15,-20.52 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569570348,19/01/19,05:59:03.58,GBM Final Position,188.290,-54.980,10.68,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
569570348,19/01/19,05:59:03.58,GBM Ground Position,185.410,-55.050,7.53,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_569570348.fits
569570348,19/01/19,05:59:03.58,GBM Flight Position,180.700,-56.067,12.38,Fermi-GBM Flight-calculated Coordinates. The LC_URL file will not be created until ~15 min after the trigger.
569543394,19/01/18,22:29:49.93,GBM Final Position,248.910,+77.140,3.42,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Short GRB.
569543394,19/01/18,22:29:49.93,GBM Ground Position,246.660,+76.510,3.11,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_569543394.fits
569543394,19/01/18,22:29:49.93,GBM Flight Position,230.717,+78.600,8.18,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 208.92,-23.63 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569407848,19/01/17,08:50:43.60,GBM Final Position,105.270,-20.570,6.35,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB.
569407848,19/01/17,08:50:43.60,GBM Flight Position,102.150,-25.750,13.65,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 148.93,7.93 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569407848,19/01/17,08:50:43.60,GBM Ground Position,94.130,-18.090,12.62,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_569407848.fits
569407848,19/01/17,08:50:43.60,GBM Flight Position,95.317,-17.883,24.48,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 148.93,7.93 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
569192227,19/01/14,20:57:02.63,GBM Final Position,53.880,-28.550,1.00,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. Bright hard burst in the GBM. This is likely a Long GRB. NOTE: This GBM event is temporally(1.0<100sec) coincident with the INTEGRAL_SPIACS event (trignum=8198).
569192227,19/01/14,20:57:02.63,GBM Ground Position,53.430,-29.200,1.00,Fermi-GBM Ground-calculated Coordinates. Bright hard burst in the GBM. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(1.0<100sec) coincident with the SWIFT_BAT event (trignum=883832). http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_569192227.fits
569192227,19/01/14,20:57:02.63,GBM Flight Position,56.217,-31.767,3.32,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 63.43,25.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(1.0<100sec) coincident with the SWIFT_BAT event (trignum=883832)."
569192227,19/01/14,20:57:02.63,GBM Flight Position,57.767,-26.383,3.30,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 63.43,25.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger. NOTE: This GBM event is temporally(1.0<100sec) coincident with the SWIFT_BAT event (trignum=883832)."
569161292,19/01/14,12:21:27.66,GBM Flight Position,61.367,-13.900,34.77,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 45.40,-21.72 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
568833894,19/01/10,17:24:49.21,GBM Final Position,277.010,-49.060,2.18,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing. NOTE: This GBM event is temporally(0.0<100sec) coincident with the KONUS event (trignum=1849362689).
568833894,19/01/10,17:24:49.21,GBM Final Position,272.460,-49.740,3.55,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. In the LAT Field-of-view. This is likely a Long GRB. NOTE: This GBM event is temporally(1.0<100sec) coincident with the SWIFT_BAT event (trignum=883012).
