GRBName,Trig_no,healpix,locmap
bn170516327,516613897,2048,2048
bn170516808,516655451,2048,0
bn170520202,516948677,2048,0
bn170521882,517093851,2048,0
bn170522657,517160740,2048,0
bn170526279,517473699,2048,2048
bn170527268,517559119,2048,2048
bn170527480,517577467,2048,0
bn170528148,517635176,2048,2048
bn170528284,517646972,2048,2048
bn170528305,517648751,2048,2048
bn170528638,517677546,2048,2048
bn170528709,517683635,2048,2048
bn170529629,517763188,2048,2048
bn170530108,517804578,2048,2048
bn170530581,517845377,2048,0
bn170601224,517987380,2048,2048
bn170601502,518011376,2048,2048
bn170603403,518175635,2048,2048
bn170603580,518190945,2048,2048
bn170604603,518279290,2048,0
bn170606968,518483662,2048,0
bn170607946,518568123,2048,0
bn170607971,518570284,2048,0
bn170608123,518583434,2048,2048
bn170609358,518690177,2048,2048
bn170609750,518724022,2048,2048
bn170610689,518805112,2048,0
bn170611937,518912980,2048,0
bn170614255,519113206,2048,0
bn170614486,519133191,2048,0
bn170614505,519134803,2048,2048
bn170615456,519216979,2048,2048
bn170616047,519268067,2048,0
bn170616165,519278292,2048,0
bn170617045,519354295,2048,2048
bn170617115,519360300,2048,2048
bn170617134,519362010,2048,2048
bn170618475,519477886,2048,0
bn170618654,519493310,2048,2048
bn170619358,519554156,2048,2048
bn170619685,519582364,2048,2048
bn170619878,519599071,2048,2048
bn170621784,519763773,2048,0
bn170621896,519773392,2048,2048
bn170623628,519923052,2048,2048
bn170625116,520051659,2048,2048
bn170625692,520101352,2048,0
bn170627931,520294865,2048,0
bn170629303,520413344,2048,2048
bn170629508,520431065,2048,2048
bn170629537,520433616,2048,0
bn170702203,520663933,2048,2048
bn170703676,520791198,2048,2048
bn170704510,520863310,2048,2048
bn170704575,520868885,2048,2048
bn170705115,520915556,2048,0
bn170705200,520922915,2048,0
bn170705244,520926650,2048,0
bn170707554,521126244,2048,2048
bn170708046,521168776,2048,0
bn170709136,521262990,2048,2048
bn170709334,521280028,2048,0
bn170709848,521324503,2048,2048
bn170710340,521367012,2048,0
bn170711019,521425617,2048,0
bn170711713,521485601,2048,0
bn170711931,521504430,2048,0
bn170712117,521520524,2048,2048
bn170712214,521528904,2048,2048
bn170712283,521534893,2048,2048
bn170713996,521682878,2048,0
bn170714049,521687456,2048,0
bn170714067,521688978,2048,2048
bn170715814,521839924,2048,2048
bn170715878,521845458,2048,0
bn170716083,521863169,2048,2048
bn170716456,521895396,2048,2048
bn170716577,521905898,2048,2048
bn170716717,521917963,2048,2048
bn170717639,521997618,2048,2048
bn170717676,522000785,2048,2048
bn170717704,522003255,2048,2048
bn170717952,522024686,2048,0
bn170718152,522041975,2048,0
bn170718229,522048561,2048,2048
bn170718370,522060749,2048,2048
bn170718524,522074060,2048,2048
bn170719183,522131014,2048,2048
bn170721323,522315920,2048,2048
bn170721535,522334209,2048,2048
bn170722525,522419778,2048,0
bn170722833,522446343,2048,2048
bn170723076,522467355,2048,0
bn170723116,522470841,2048,0
bn170723188,522477026,2048,2048
bn170723677,522519332,2048,0
bn170723882,522537023,2048,0
bn170724543,522594155,2048,0
bn170726249,522741500,2048,0
bn170727841,522879062,2048,0
bn170728844,522965739,2048,2048
bn170728961,522975804,2048,0
bn170729906,523057485,2048,2048
bn170730133,523077109,2048,0
bn170730317,523093006,2048,2048
bn170731309,523178680,2048,2048
bn170731751,523216904,2048,0
bn170801690,523298028,2048,0
bn170802638,523379909,2048,0
bn170803172,523426040,2048,0
bn170803415,523447069,2048,0
bn170803729,523474232,2048,0
